,,,,,,,,,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,
Rk,Name,,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,SCA_PassLive,SCA_PassDead,SCA_Drib,SCA_Sh,SCA_Fld,SCA_Def,GCA,GCA90,GCA_PassLive,GCA_PassDead,GCA_Drib,GCA_Sh,GCA_Fld,GCA_Def,Matches
135,Paul Dummett,,wls WAL,DF,Newcastle Utd,30-190,1991,2.2,0.45,0.45,0,0.45,0,0,0,0,0,0,0,0,0,0,0,0,Matches
136,Lewis Dunk,,eng ENG,DF,Brighton,30-134,1991,20.6,0.53,0.53,0.39,0,0,0.15,0,0,0,0,0,0,0,0,0,0,Matches
137,Ederson,,br BRA,GK,Manchester City,28-230,1993,29,0.14,0.14,0.07,0.07,0,0,0,0,0,0,0,0,0,0,0,0,Matches
138,Odsonne Edouard,,fr FRA,FW,Crystal Palace,24-078,1998,14.1,2.34,2.34,1.56,0,0.21,0.35,0,0.21,0.21,0.21,0.14,0,0,0.07,0,0,Matches
139,Anthony Elanga,,se SWE,FW,Manchester Utd,19-342,2002,7.1,1.13,1.13,0.42,0,0.28,0,0.28,0.14,0,0,0,0,0,0,0,0,Matches
140,Harvey Elliott,,eng ENG,MF,Liverpool,19-000,2003,3.1,5.16,5.11,3.23,0.32,0.32,0.65,0.65,0,0.32,0.32,0.32,0,0,0,0,0,Matches
141,Mohamed Elneny,,eg EGY,MF,Arsenal,29-267,1992,2,2,2.05,2,0,0,0,0,0,0.5,0.51,0.5,0,0,0,0,0,Matches
142,Mohamed Elyounoussi,,no NOR,MF,Southampton,27-243,1994,17.8,2.42,2.42,1.91,0,0.11,0.28,0.06,0.06,0.22,0.23,0.11,0,0,0.11,0,0,Matches
143,Emerson,,br BRA,DF,Tottenham,23-080,1999,17.7,2.26,2.26,1.81,0,0.23,0.11,0.06,0.06,0.11,0.11,0.11,0,0,0,0,0,Matches
144,Christian Eriksen,,dk DEN,MF,Brentford,30-049,1992,3.4,4.12,4.08,2.35,1.76,0,0,0,0,0.88,0.87,0.59,0.29,0,0,0,0,Matches
145,Oghenekaro Etebo,,ng NGA,MF,Watford,26-146,1995,4.3,0.93,0.93,0.93,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
146,Jonny Evans,,nir NIR,DF,Leicester City,34-091,1988,9.4,0.43,0.43,0.32,0.11,0,0,0,0,0.21,0.21,0.11,0.11,0,0,0,0,Matches
147,Eberechi Eze,,eng ENG,MFFW,Crystal Palace,23-279,1998,1.6,1.25,1.27,0.63,0.63,0,0,0,0,0,0,0,0,0,0,0,0,Matches
148,Lukasz Fabianski,,pl POL,GK,West Ham,36-351,1985,30,0.1,0.1,0.07,0.03,0,0,0,0,0,0,0,0,0,0,0,0,Matches
149,Fabinho,,br BRA,MF,Liverpool,28-163,1993,21.2,1.6,1.6,1.23,0,0,0.14,0.19,0.05,0.24,0.24,0.14,0,0,0.09,0,0,Matches
150,Kiko Femenia,,es ESP,DF,Watford,31-061,1991,18.8,1.6,1.59,1.22,0.37,0,0,0,0,0.32,0.32,0.27,0.05,0,0,0,0,Matches
151,Evan Ferguson,,ie IRL,MF,Brighton,17-167,2004,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
152,Nathan Ferguson,,eng ENG,DF,Crystal Palace,21-180,2000,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
153,Bruno Fernandes,,pt POR,MF,Manchester Utd,27-208,1994,26.6,4.47,4.47,3.5,0.53,0.11,0.15,0.08,0.11,0.38,0.38,0.3,0,0.04,0.04,0,0,Matches
154,Alvaro Fernandez,,es ESP,GK,Brentford,23-356,1998,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
155,Federico Fernandez,,ar ARG,DF,Newcastle Utd,33-042,1989,5.8,0.52,0.52,0.17,0,0,0.34,0,0,0.17,0.17,0,0,0,0.17,0,0,Matches
156,Fernandinho,,br BRA,MF,Manchester City,36-335,1985,6.8,3.24,3.25,2.5,0,0,0.44,0.29,0,0.59,0.59,0.59,0,0,0,0,0,Matches
157,Roberto Firmino,,br BRA,FW,Liverpool,30-184,1991,9.8,3.16,3.17,2.65,0,0.1,0.31,0,0.1,0.51,0.51,0.31,0,0,0.1,0,0.1,Matches
158,Junior Firpo,,es ESP,DF,Leeds United,25-225,1996,14.8,2.36,2.36,1.76,0.27,0.07,0.07,0.07,0.14,0.2,0.2,0.07,0.07,0,0,0,0.07,Matches
159,Ashley Fletcher,,eng ENG,FW,Watford,26-184,1995,0.3,6.67,6,3.33,0,0,3.33,0,0,0,0,0,0,0,0,0,0,Matches
160,Phil Foden,,eng ENG,FW,Manchester City,21-311,2000,18.6,3.33,3.34,2.31,0.59,0.05,0.32,0.05,0,0.48,0.48,0.32,0.05,0,0.11,0,0,Matches
161,Wesley Fofana,,fr FRA,DF,Leicester City,21-108,2000,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
162,Pablo Fornals,,es ESP,FWMF,West Ham,26-041,1996,25,2.88,2.87,2.24,0.2,0.16,0.16,0.08,0.04,0.28,0.28,0.2,0.04,0,0.04,0,0,Matches
163,Adam Forshaw,,eng ENG,MF,Leeds United,30-178,1991,17,1.59,1.59,1.53,0,0,0.06,0,0,0.06,0.06,0.06,0,0,0,0,0,Matches
164,Marcus Forss,,fi FIN,FWMF,Brentford,22-290,1999,2.3,0.87,0.86,0.43,0,0,0.43,0,0,0.43,0.43,0,0,0,0.43,0,0,Matches
165,Fraser Forster,,eng ENG,GK,Southampton,34-018,1988,13,0.08,0.08,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,Matches
166,Ben Foster,,eng ENG,GK,Watford,39-001,1983,19,0.32,0.32,0.32,0,0,0,0,0,0.05,0.05,0.05,0,0,0,0,0,Matches
167,Tariqe Fosu,,gh GHA,DF,Brentford,26-150,1995,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
168,Ryan Fraser,,sct SCO,FWMF,Newcastle Utd,28-039,1994,16,2.81,2.81,1.69,0.5,0,0.25,0.31,0.06,0.38,0.38,0.19,0.06,0,0.06,0.06,0,Matches
169,Fred,,br BRA,MF,Manchester Utd,29-030,1993,20.6,2.57,2.57,2.09,0,0.05,0.05,0.19,0.19,0.39,0.39,0.29,0,0,0,0.05,0.05,Matches
170,Ryan Fredericks,,eng ENG,DF,West Ham,29-176,1992,2.4,0.83,0.83,0.83,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
171,Leo Fuhr Hjelde,,no NOR,DF,Leeds United,18-221,2003,1.7,1.76,1.8,1.76,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
172,Conor Gallagher,,eng ENG,MF,Crystal Palace,22-057,2000,24.4,3.11,3.11,1.52,0.78,0.12,0.29,0.33,0.08,0.49,0.49,0.33,0,0.08,0,0.04,0.04,Matches
173,Dwight Gayle,,eng ENG,FW,Newcastle Utd,31-169,1990,0.4,2.5,2.81,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
174,Jean-Philippe Gbamin,,ci CIV,MF,Everton,26-191,1995,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
175,David de Gea,,es ESP,GK,Manchester Utd,31-148,1990,30,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
176,Joe Gelhardt,,eng ENG,FWMF,Leeds United,19-335,2002,5.5,2.73,2.71,1.64,0,0.36,0.18,0.55,0,0.73,0.72,0.18,0,0.18,0,0.36,0,Matches
177,Anwar El Ghazi,,nl NED,FW,Everton,26-336,1995,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
178,Anwar El Ghazi,,nl NED,FWMF,Aston Villa,26-336,1995,4.3,2.56,2.56,1.86,0.23,0.23,0,0.23,0,0.47,0.47,0.47,0,0,0,0,0,Matches
179,Saman Ghoddos,,ir IRN,MFDF,Brentford,28-210,1993,4.8,4.58,4.56,3.33,0.42,0,0.21,0.42,0.21,0.42,0.41,0.21,0,0,0,0.21,0,Matches
180,Dimitris Giannoulis,,gr GRE,DF,Norwich City,26-169,1995,7.1,1.27,1.27,0.99,0.14,0.14,0,0,0,0.14,0.14,0.14,0,0,0,0,0,Matches
181,Morgan Gibbs-White,,eng ENG,FWMF,Wolves,22-067,2000,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
182,Ben Gibson,,eng ENG,DF,Norwich City,29-079,1993,24.7,0.4,0.4,0.4,0,0,0,0,0,0.04,0.04,0.04,0,0,0,0,0,Matches
183,Billy Gilmour,,sct SCO,MF,Norwich City,20-297,2001,16.7,2.57,2.57,1.14,1.26,0.06,0.12,0,0,0.06,0.06,0,0.06,0,0,0,0,Matches
184,Ben Godfrey,,eng ENG,DF,Everton,24-079,1998,19.5,1.49,1.48,1.18,0.1,0.05,0.1,0,0.05,0.1,0.1,0.05,0,0,0.05,0,0,Matches
185,Andre Gomes,,pt POR,MF,Everton,28-248,1993,5.6,2.32,2.33,1.61,0,0.36,0.18,0.18,0,0.36,0.36,0.18,0,0.18,0,0,0,Matches
186,Toti Gomes,,pt POR,DF,Wolves,23-078,1999,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
187,Joe Gomez,,eng ENG,DF,Liverpool,24-316,1997,2.2,2.27,2.3,1.82,0,0,0,0.45,0,0.45,0.46,0.45,0,0,0,0,0,Matches
188,Charlie Goode,,eng ENG,DF,Brentford,26-244,1995,5,2.4,2.4,0.4,1.4,0.2,0.2,0,0.2,0,0,0,0,0,0,0,0,Matches
189,Anthony Gordon,,eng ENG,MFFW,Everton,21-039,2001,16.9,2.37,2.37,1.36,0.41,0.24,0,0.3,0.06,0.18,0.18,0,0.12,0,0,0.06,0,Matches
190,Kaide Gordon,,eng ENG,FW,Liverpool,17-181,2004,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
191,Dan Gosling,,eng ENG,MF,Watford,32-062,1990,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
192,Demarai Gray,,eng ENG,MFFW,Everton,25-280,1996,19.8,3.23,3.23,1.87,0.4,0.45,0.2,0.3,0,0.2,0.2,0.1,0,0.05,0.05,0,0,Matches
193,Jack Grealish,,eng ENG,FW,Manchester City,26-206,1995,17.1,5.09,5.1,4.04,0.06,0.23,0.23,0.53,0,0.35,0.35,0.35,0,0,0,0,0,Matches
194,Mason Greenwood,,eng ENG,FWMF,Manchester Utd,20-185,2001,14.1,3.12,3.12,2.62,0,0.28,0.07,0.14,0,0.5,0.5,0.43,0,0,0.07,0,0,Matches
195,Sam Greenwood,,eng ENG,FWMF,Leeds United,20-068,2002,0.9,1.11,1.11,1.11,0,0,0,0,0,1.11,1.11,1.11,0,0,0,0,0,Matches
196,Pascal Gross,,de GER,MFDF,Brighton,30-293,1991,16.3,4.17,4.17,2.33,1.66,0,0.18,0,0,0.25,0.25,0.12,0.12,0,0,0,0,Matches
197,Vicente Guaita,,es ESP,GK,Crystal Palace,35-084,1987,23.5,0.04,0.04,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
198,Marc Guehi,,eng ENG,DF,Crystal Palace,21-265,2000,28,0.43,0.43,0.43,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
199,Bruno Guimaraes,,br BRA,MF,Newcastle Utd,24-139,1997,3.6,1.94,1.96,1.67,0,0,0.28,0,0,0,0,0,0,0,0,0,0,Matches
200,?lkay Gundogan,,de GER,MF,Manchester City,31-162,1990,16,3.5,3.5,2.63,0.63,0.25,0,0,0,0.38,0.37,0.31,0,0.06,0,0,0,Matches
201,Angus Gunn,,eng ENG,GK,Norwich City,26-072,1996,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
202,Grant Hanley,,sct SCO,DF,Norwich City,30-135,1991,24.2,0.29,0.29,0.12,0.04,0,0.12,0,0,0,0,0,0,0,0,0,0,Matches
203,Jack Harrison,,eng ENG,FWMF,Leeds United,25-135,1996,22.9,3.14,3.14,2.1,0.17,0.35,0.26,0.22,0.04,0.13,0.13,0.04,0,0.04,0.04,0,0,Matches
204,Kortney Hause,,eng ENG,DF,Aston Villa,26-262,1995,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
205,Kai Havertz,,de GER,FWMF,Chelsea,22-297,1999,15.5,2.52,2.52,1.74,0,0.13,0.32,0.32,0,0.32,0.32,0.19,0,0.06,0,0.06,0,Matches
206,Isaac Hayden,,eng ENG,MFDF,Newcastle Utd,27-013,1995,11.1,0.54,0.54,0.54,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
207,Hwang Hee-chan,,kr KOR,FWMF,Wolves,26-068,1996,15.3,1.5,1.5,0.98,0,0.13,0.2,0.13,0.07,0.2,0.2,0.07,0,0.07,0,0,0.07,Matches
208,Jordan Henderson,,eng ENG,MF,Liverpool,31-291,1990,23.3,2.75,2.75,2.45,0.17,0.09,0,0,0.04,0.47,0.47,0.47,0,0,0,0,0,Matches
209,Jeff Hendrick,,ie IRL,MF,Newcastle Utd,30-063,1992,0.8,1.25,1.25,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
210,Wayne Hennessey,,wls WAL,GK,Burnley,35-070,1987,2,1.5,1.5,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
211,Rico Henry,,eng ENG,DF,Brentford,24-270,1997,24.2,1.24,1.24,1.03,0.04,0.12,0,0.04,0,0,0,0,0,0,0,0,0,Matches
212,Son Heung-min,,kr KOR,FWMF,Tottenham,29-270,1992,25.9,3.9,3.9,2.36,1,0.08,0.23,0.19,0.04,0.42,0.42,0.27,0.08,0,0,0.08,0,Matches
213,Ki-Jana Hoever,,nl NED,DF,Wolves,20-076,2002,3.4,0.88,0.88,0.88,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
214,Rob Holding,,eng ENG,DF,Arsenal,26-196,1995,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
215,Mason Holgate,,eng ENG,DF,Everton,25-164,1996,15.8,0.06,0.06,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
216,Callum Hudson-Odoi,,eng ENG,FWMF,Chelsea,21-148,2000,10.7,4.77,4.77,3.46,0,0.65,0.28,0.37,0,0.56,0.56,0.37,0,0,0,0.19,0,Matches
217,Will Hughes,,eng ENG,MF,Crystal Palace,26-352,1995,9.1,1.76,1.76,0.88,0.33,0,0,0.22,0.33,0.22,0.22,0,0.11,0,0,0.11,0,Matches
218,Pierre Hojbjerg,,dk DEN,MF,Tottenham,26-242,1995,27.5,2.11,2.11,1.75,0.11,0.11,0.04,0.04,0.07,0.15,0.15,0.15,0,0,0,0,0,Matches
219,Adam Idah,,ie IRL,FWMF,Norwich City,21-024,2001,6.9,1.74,1.73,1.16,0.14,0.14,0,0.29,0,0.14,0.14,0.14,0,0,0,0,0,Matches
220,Kelechi Iheanacho,,ng NGA,FW,Leicester City,25-183,1996,10.2,2.94,2.94,2.25,0.1,0.2,0.1,0.1,0.2,0.69,0.69,0.49,0,0,0,0,0.2,Matches
221,Danny Ings,,eng ENG,FW,Aston Villa,29-255,1992,16.9,1.24,1.24,0.95,0,0.06,0.12,0.06,0.06,0.41,0.41,0.41,0,0,0,0,0,Matches
222,Tim Iroegbunam,,eng ENG,MF,Aston Villa,18-278,2003,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
223,Alex Iwobi,,ng NGA,MFFW,Everton,25-336,1996,12.6,2.86,2.85,2.78,0,0,0.08,0,0,0.24,0.24,0.24,0,0,0,0,0,Matches
224,Daniel James,,wls WAL,FW,Manchester Utd,24-145,1997,1.4,2.14,2.14,1.43,0,0,0.71,0,0,0,0,0,0,0,0,0,0,Matches
225,Daniel James,,wls WAL,FWMF,Leeds United,24-145,1997,23.1,2.12,2.12,1.47,0,0.09,0.22,0.3,0.04,0.22,0.22,0.13,0,0.04,0,0.04,0,Matches
226,Reece James,,eng ENG,DF,Chelsea,22-117,1999,13.5,3.85,3.84,2.81,0.44,0.22,0.22,0.15,0,0.59,0.59,0.44,0.07,0.07,0,0,0,Matches
227,Vitaly Janelt,,de GER,MF,Brentford,23-329,1998,20.7,1.88,1.89,1.26,0.14,0.1,0.19,0.14,0.05,0.19,0.19,0.14,0,0,0.05,0,0,Matches
228,Pontus Jansson,,se SWE,DF,Brentford,31-050,1991,30.9,0.36,0.36,0.19,0,0,0.13,0.03,0,0.13,0.13,0.03,0,0,0.06,0.03,0,Matches
229,Mathias Jensen,,dk DEN,MF,Brentford,26-093,1996,13.7,3.21,3.21,1.68,1.39,0,0,0,0.15,0.15,0.15,0.07,0.07,0,0,0,0,Matches
230,Gabriel Jesus,,br BRA,FW,Manchester City,25-001,1997,15.2,3.09,3.1,2.3,0,0.33,0.39,0.07,0,0.79,0.79,0.53,0,0.13,0.07,0.07,0,Matches
231,Raul Jimenez,,mx MEX,FW,Wolves,30-334,1991,23.9,2.3,2.3,1.51,0.04,0.17,0.29,0.17,0.13,0.54,0.54,0.21,0,0.13,0.13,0.04,0.04,Matches
232,Joelinton,,br BRA,MFFW,Newcastle Utd,25-233,1996,21.6,2.36,2.36,1.57,0,0.14,0.32,0.23,0.09,0.19,0.19,0.14,0,0,0.05,0,0,Matches
233,Ben Johnson,,eng ENG,DF,West Ham,22-070,2000,13.4,0.97,0.97,0.82,0.07,0,0,0.07,0,0.15,0.15,0.15,0,0,0,0,0,Matches
234,Curtis Jones,,eng ENG,MF,Liverpool,21-064,2001,7.8,2.31,2.31,1.41,0.13,0.13,0.26,0.26,0.13,0.26,0.26,0.13,0,0,0.13,0,0,Matches
235,Phil Jones,,eng ENG,DF,Manchester Utd,30-042,1992,1,2,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,Matches
236,Jorginho,,it ITA,MF,Chelsea,30-105,1991,20.8,1.92,1.93,1.63,0.05,0,0.1,0.1,0.05,0.34,0.34,0.34,0,0,0,0,0,Matches
237,Diogo Jota,,pt POR,FW,Liverpool,25-121,1996,20.4,3.33,3.33,2.11,0,0.59,0.1,0.34,0.2,0.49,0.49,0.15,0,0.2,0.05,0.1,0,Matches
238,James Justin,,eng ENG,DF,Leicester City,24-040,1998,5.1,1.37,1.38,1.18,0,0,0,0.2,0,0,0,0,0,0,0,0,0,Matches
239,Mathias Jorgensen,,dk DEN,DF,Brentford,31-346,1990,4.8,1.25,1.26,0.63,0.42,0,0.21,0,0,0,0,0,0,0,0,0,0,Matches
240,Ozan Kabak,,tr TUR,DF,Norwich City,22-010,2000,10.2,0.98,0.98,0.39,0,0.1,0.1,0.29,0.1,0,0,0,0,0,0,0,0,Matches
241,Christian Kabasele,,be BEL,DF,Watford,31-039,1991,6.3,0.63,0.64,0.63,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
242,Samuel Kalu,,ng NGA,FWMF,Watford,24-221,1997,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
243,Hassane Kamara,,ci CIV,DF,Watford,27-197,1994,11.9,1.34,1.34,1.09,0,0.08,0,0,0.17,0,0,0,0,0,0,0,0,Matches
244,Harry Kane,,eng ENG,FW,Tottenham,28-250,1993,27.9,3.26,3.26,2.44,0.04,0.32,0.22,0.22,0.04,0.54,0.54,0.43,0,0.04,0.07,0,0,Matches
245,N'Golo Kante,,fr FRA,MF,Chelsea,31-006,1991,14,2.86,2.85,2.36,0,0.29,0.07,0,0.14,0.79,0.79,0.71,0,0.07,0,0,0,Matches
246,Edo Kayembe,,cd COD,MF,Watford,23-244,1998,4.6,1.52,1.52,1.52,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
247,Moise Kean,,it ITA,FW,Everton,22-035,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
248,Michael Keane,,eng ENG,DF,Everton,29-083,1993,25.2,0.52,0.52,0.32,0.08,0,0.12,0,0,0.04,0.04,0.04,0,0,0,0,0,Matches
249,Naby Keita,,gn GUI,MF,Liverpool,27-053,1995,9.2,3.26,3.25,2.5,0,0.22,0.33,0,0.22,0.54,0.54,0.43,0,0,0.11,0,0,Matches
250,Caoimhin Kelleher,,ie IRL,GK,Liverpool,23-132,1998,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
251,Jonjoe Kenny,,eng ENG,DF,Everton,25-020,1997,8.8,1.59,1.59,1.14,0.11,0.23,0.11,0,0,0.23,0.23,0.23,0,0,0,0,0,Matches
252,Max Kilman,,eng ENG,DF,Wolves,24-316,1997,28.9,0.31,0.31,0.21,0,0.03,0.03,0,0.03,0.03,0.03,0,0,0,0.03,0,0,Matches
253,Joshua King,,no NOR,FW,Watford,30-079,1992,22,2.5,2.5,1.91,0,0.18,0.14,0.23,0.05,0.27,0.27,0.18,0,0.05,0.05,0,0,Matches
254,Kristoffer Klaesson,,no NOR,GK,Leeds United,21-128,2000,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
255,Mateusz Klich,,pl POL,MF,Leeds United,31-295,1990,19.1,3.09,3.1,2.46,0.1,0.1,0.21,0.16,0.05,0.31,0.31,0.26,0,0,0.05,0,0,Matches
256,Robin Koch,,de GER,MFDF,Leeds United,25-261,1996,11.2,1.34,1.33,1.16,0,0,0.09,0.09,0,0,0,0,0,0,0,0,0,Matches
257,Sead Kolasinac,,ba BIH,DF,Arsenal,28-288,1993,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
258,Ibrahima Konate,,fr FRA,DF,Liverpool,22-314,1999,8,0.63,0.62,0.63,0,0,0,0,0,0.13,0.12,0.13,0,0,0,0,0,Matches
259,Ezri Konsa,,eng ENG,DF,Aston Villa,24-163,1997,23,0.39,0.39,0.35,0,0,0,0,0.04,0,0,0,0,0,0,0,0,Matches
260,Cheikhou Kouyate,,sn SEN,MF,Crystal Palace,32-104,1989,18.5,0.86,0.86,0.7,0,0.11,0,0,0.05,0.05,0.05,0.05,0,0,0,0,0,Matches
261,Mateo Kova?i?,,hr CRO,MF,Chelsea,27-333,1994,14.5,3.31,3.31,2.76,0,0.14,0.21,0.21,0,0.41,0.41,0.41,0,0,0,0,0,Matches
262,Emil Krafth,,se SWE,DF,Newcastle Utd,27-245,1994,11.5,0.61,0.61,0.43,0,0.09,0.09,0,0,0.09,0.09,0.09,0,0,0,0,0,Matches
263,Alex Kral,,cz CZE,MF,West Ham,23-320,1998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
264,Tim Krul,,nl NED,GK,Norwich City,34-001,1988,23,0.22,0.22,0.13,0.09,0,0,0,0,0,0,0,0,0,0,0,0,Matches
265,Juraj Kucka,,sk SVK,MF,Watford,35-037,1987,18.6,1.72,1.72,1.24,0,0.22,0,0.16,0.11,0.11,0.11,0.05,0,0,0,0.05,0,Matches
266,Dejan Kulusevski,,se SWE,MFFW,Tottenham,21-344,2000,8.4,3.81,3.81,2.86,0,0.24,0.6,0.12,0,1.19,1.19,0.83,0,0.24,0.12,0,0,Matches
267,Alexandre Lacazette,,fr FRA,FWMF,Arsenal,30-311,1991,17,3.65,3.65,2.41,0,0.41,0.24,0.47,0.12,0.53,0.53,0.35,0,0,0.06,0.06,0.06,Matches
268,Adam Lallana,,eng ENG,MF,Brighton,33-329,1988,16.8,1.55,1.55,1.31,0,0.06,0,0.12,0.06,0.18,0.18,0.18,0,0,0,0,0,Matches
269,Tariq Lamptey,,eng ENG,DFFW,Brighton,21-186,2000,15.2,2.96,2.96,2.04,0,0.26,0.2,0.26,0.2,0.13,0.13,0.13,0,0,0,0,0,Matches
270,Manuel Lanzini,,ar ARG,MF,West Ham,29-048,1993,14.7,2.99,2.99,2.52,0.2,0.14,0,0.07,0.07,0.41,0.41,0.27,0,0.07,0,0,0.07,Matches
271,Aymeric Laporte,,es ESP,DF,Manchester City,27-312,1994,24.1,1.04,1.04,0.87,0,0,0.12,0.04,0,0.12,0.12,0.04,0,0,0.04,0.04,0,Matches
272,Jamaal Lascelles,,eng ENG,DF,Newcastle Utd,28-144,1993,19.1,0.31,0.31,0.31,0,0,0,0,0,0.05,0.05,0.05,0,0,0,0,0,Matches
273,Pierre Lees-Melou,,fr FRA,MF,Norwich City,28-314,1993,18.5,1.95,1.94,1.62,0.05,0,0.05,0.05,0.16,0.05,0.05,0,0,0,0,0.05,0,Matches
274,Aaron Lennon,,eng ENG,MF,Burnley,34-353,1987,12.9,1.63,1.63,0.93,0,0.23,0,0.47,0,0.31,0.31,0.08,0,0.08,0,0.16,0,Matches
275,Bernd Leno,,de GER,GK,Arsenal,30-031,1992,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
276,Jamal Lewis,,nir NIR,DF,Newcastle Utd,24-069,1998,2.9,0.69,0.69,0.69,0,0,0,0,0,0.34,0.34,0.34,0,0,0,0,0,Matches
277,Victor Lindelof,,se SWE,DF,Manchester Utd,27-261,1994,18.2,0.55,0.55,0.55,0,0,0,0,0,0.16,0.17,0.16,0,0,0,0,0,Matches
278,Jesse Lingard,,eng ENG,FW,Manchester Utd,29-110,1992,2.3,3.04,3,2.17,0,0,0.43,0.43,0,0,0,0,0,0,0,0,0,Matches
279,Valentino Livramento,,eng ENG,DF,Southampton,19-143,2002,23.2,1.59,1.6,1.47,0,0.04,0,0.09,0,0.09,0.09,0.04,0,0,0,0.04,0,Matches
280,Diego Llorente,,es ESP,DF,Leeds United,28-231,1993,20,0.3,0.3,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
281,Hugo Lloris,,fr FRA,GK,Tottenham,35-099,1986,30,0.17,0.17,0.17,0,0,0,0,0,0.03,0.03,0.03,0,0,0,0,0,Matches
282,Giovani Lo Celso,,ar ARG,MFFW,Tottenham,25-360,1996,2.6,3.85,3.78,1.92,0.77,0,0.38,0.77,0,0,0,0,0,0,0,0,0,Matches
283,Jurgen Locadia,,nl NED,FW,Brighton,28-148,1993,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
284,Ruben Loftus-Cheek,,eng ENG,MF,Chelsea,26-071,1996,9.7,2.68,2.69,1.75,0,0.21,0.31,0.21,0.21,0.41,0.41,0.21,0,0,0.21,0,0,Matches
285,Kevin Long,,ie IRL,DF,Burnley,31-229,1990,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
286,Shane Long,,ie IRL,FWMF,Southampton,35-072,1987,1.6,1.88,1.91,0.63,0,0,0,1.25,0,0,0,0,0,0,0,0,0,Matches
287,Sean Longstaff,,eng ENG,MF,Newcastle Utd,24-156,1997,12.2,1.39,1.39,1.07,0.08,0,0.08,0,0.16,0.25,0.25,0.16,0,0,0,0,0.08,Matches
288,Ademola Lookman,,ng NGA,FWMF,Leicester City,24-166,1997,12.7,2.76,2.77,2.13,0,0.31,0.08,0.16,0.08,0.16,0.16,0.08,0,0,0,0.08,0,Matches
289,Jonas Lossl,,dk DEN,GK,Brentford,33-062,1989,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
290,Imran Louza,,ma MAR,MF,Watford,22-338,1999,11.9,2.02,2.01,0.84,0.84,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0,0,0,0,0,Matches
291,Matthew Lowton,,eng ENG,DF,Burnley,32-299,1989,16.8,1.79,1.78,1.31,0.24,0,0.06,0.12,0.06,0.12,0.12,0.06,0,0,0.06,0,0,Matches
